OBJECTID,	STATEFP20,	GEOID20,	CD118FP,	NAMELSAD20,					LSAD20,	CDSESSN,	MTFCC20,	FUNCSTAT20,	ALAND20,		AWATER20,	INTPTLAT20,	INTPTLON20,		OFFICE_ID,	BIOGUIDE_ID,	OFFICE_AUDIT_ID,PREFIX,	FIRSTNAME,	MIDDLENAME,	LASTNAME,	SUFFIX,	LISTING_NAME,		PHONE,WEBSITEURL,						VACANT,	CONTACTFORMURL,														PHOTOURL,													FACE_BOOK_URL,												TWITTER_URL,							YOUTUBE_URL,																	INSTAGRAM_URL,										FLICKR_URL,									PARTY,	DISTRICT,	STATE,	VACANCY,	ROOM_NUM,	HOB,	COMMITTEE_ASSIGNMENTS,																	LAST_UPDATED,			Shape__Area,		Shape__Length
1,			01,			0101,		01,			Congressional District 1,	C2,		118,		G5200,		N,			14843688153,	2267935444,	+30.9818561,-087.8174031,	AL01,		C001054,		00010619,		Mr. ,	Jerry,		L.,			Carl,		,		"Carl, Jerry",		54931,https://carl.house.gov,			N,		https://carl.house.gov/address_authentication?form=/contact,		https://ziplook.house.gov/zip/pictures/al01_carl.jpg,		https://facebook.com/RepJerryCarl,							https://x.com/RepJerryCarl,				,																				https://instagram.com/RepJerryCarl,					,											R,		01,			,		0,			1330,		LHOB,	Appropriations;Natural Resources,														11/16/2023 2:34:15 PM,	1.61595791724926,	10.2365462209335
2,			01,			0102,		02,			Congressional District 2,	C2,		118,		G5200,		N,			26956094151,	301598922,	+31.7020846,-086.0768417,	AL02,		M001212,		00010620,		Mr. ,	Barry,		,			Moore,		,		"Moore, Barry",		52901,https://barrymoore.house.gov,		N,		https://barrymoore.house.gov/address_authentication?form=/contact,	https://ziplook.house.gov/zip/pictures/al02_moore.jpg,		https://www.facebook.com/RepBarryMoore/,					https://x.com/repbarrymoore,			,																				https://www.instagram.com/repbarrymoore,			,											R,		02,			,		0,			1504,		LHOB,	Agriculture;the Judiciary,																11/16/2023 2:35:12 PM,	2.59339076869423,	11.5182857679451
3,			01,			0103,		03,			Congressional District 3,	C2,		118,		G5200,		N,			21381394842,	520777484,	+33.1576070,-085.7621595,	AL03,		R000575,		00006997,		Mr. ,	Mike,		,			Rogers,		,		"Rogers, Mike",		53261,https://mikerogers.house.gov/,	N,		https://mikerogers.house.gov/contact/,								https://ziplook.house.gov/zip/pictures/al03_rogersmike.jpg,	https://www.facebook.com/CongressmanMikeDRogers/,			https://twitter.com/repmikerogersal,	https://www.youtube.com/user/MikeRogersAL03,									https://www.instagram.com/repmikerogersal/,			,											R,		03,			,		0,			2469,		RHOB,	Armed Services,																			1/3/2023 11:34:21 AM,	2.11712888817124,	10.2839067546943
4,			01,			0104,		04,			Congressional District 4,	C2,		118,		G5200,		N,			22807403532,	647943586,	+34.1738408,-087.2278809,	AL04,		A000055,		00004973,		Mr. ,	Robert,		B.,			Aderholt,	,		"Aderholt, Robert",	54876,https://aderholt.house.gov/,		N,		https://aderholt.house.gov/contact-robert,							https://ziplook.house.gov/zip/pictures/al04_aderholt.jpg,	http://www.facebook.com/RobertAderholt?ref=ts,				https://twitter.com/Robert_Aderholt,	https://www.youtube.com/user/RobertAderholt,									https://www.instagram.com/robert_aderholt/,			,											R,		04,			,		0,			266,		CHOB,	Appropriations,																			1/3/2023 11:34:21 AM,	2.29345006769722,	12.2523588759049
5,			01,			0105,		05,			Congressional District 5,	C2,		118,		G5200,		N,			8697664295,		372394605,	+34.7389779,-086.5910335,	AL05,		S001220,		00010727,		Mr. ,	Dale,		W.,			Strong,		,		"Strong, Dale",		54801,https://strong.house.gov,			N,		https://strong.house.gov/address_authentication?form=/contact,		https://ziplook.house.gov/zip/pictures/al05_strong.jpg,		https://www.facebook.com/profile.php?id=100089232983760,	https://x.com/RepDaleStrong,			https://www.youtube.com/channel/UCyX5utYifGwC4y2MnUYd5cw,						https://www.instagram.com/repdalestrong/,			,											R,		05,			,		0,			1337,		LHOB,	"Armed Services;Homeland Security;Science, Space, and Technology",						11/16/2023 2:36:57 PM,	0.892791610493532,	6.15868760745345
6,			01,			0106,		06,			Congressional District 6,	C2,		118,		G5200,		N,			8332760340,		110034729,	+33.3635545,-086.7792246,	AL06,		P000609,		00010177,		Mr. ,	Gary,		J.,			Palmer,		,		"Palmer, Gary",		54921,https://palmer.house.gov/,		N,		https://palmer.house.gov/address_authentication?form=/contact,		https://ziplook.house.gov/zip/pictures/al06_palmer.jpg,		https://www.facebook.com/CongressmanGaryPalmer/,			https://twitter.com/USRepGaryPalmer,	https://www.youtube.com/channel/UCYZfP-cNIvlJY3AcAc9OPpQ,						https://www.instagram.com/repgarypalmer/,			,											R,		06,			,		0,			170,		CHOB,	Energy and Commerce;Oversight and Accountability,										1/3/2023 11:34:21 AM,	0.817943771638738,	8.20520627349399
7,			01,			0107,		07,			Congressional District 7,	C2,		118,		G5200,		N,			28156455342,	371230264,	+32.4664487,-087.6079352,	AL07,		S001185,		00009590,		Ms. ,	Terri,		A.,			Sewell,		,		"Sewell, Terri",	52665,https://sewell.house.gov/,		N,		https://sewell.house.gov/email-me,									https://ziplook.house.gov/zip/pictures/al07_sewell.jpg,		https://www.facebook.com/RepSewell,							https://twitter.com/RepTerriSewell,		http://www.youtube.com/RepSewell,												http://www.instagram.com/repterriasewell,			http://www.flickr.com/photos/repsewell/,	D,		07,			,		0,			1035,		RHOB,	Armed Services;House Administration;Joint Library;Ways and Means,1						1/16/2023 2:37:52 PM,	2.73656909748752,	13.326759984542
8,			02,			0200,		00,			Congressional District (at Large),C1,118,		G5200,		N,			1478941109938,	245380162784,+63.3473560,-152.8397334,	AK00,		P000619,		00010722,		Mrs.,	Mary,		Sattler,	Peltola,	,		"Peltola, Mary",	55765,https://peltola.house.gov,		N,		https://peltola.house.gov/forms/writeyourrep/,						https://ziplook.house.gov/zip/pictures/ak00_peltola.jpg,	https://facebook.com/reppeltola,							https://twitter.com/rep_peltola,		,																				https://instagram.com/rep_peltola,					,											D,		00,			,		0,			153,		CHOB,	Natural Resources;Transportation,														4/18/2023 9:36:37 AM,	314.10574818256,	252.079490071187
9,			04,			0401,		01,			Congressional District 1,	C2,		118,		G5200,		N,			4137497652,		43241683,	+33.6988663,-111.6614783,	AZ01,		S001183,		00010730,		Mr. ,	David,		,			Schweikert,	,		"Schweikert, David",52190,https://schweikert.house.gov/,	N,		https://schweikert.house.gov/email/,								https://ziplook.house.gov/zip/pictures/az01_schweikert.jpg,	http://www.facebook.com/repdavidschweikert,					http://twitter.com/RepDavid,			http://www.youtube.com/RepDavidSchweikert,										http://instagram.com/repdavid,						,											R,		01,			,		0,			460,		CHOB,	Ways and Means,																			1/4/2023 12:47:07 PM,	0.40658741327502,	3.75117463667681
10,			04,			0402,		02,			Congressional District 2,	C2,		118,		G5200,		N,			151134662058,	355723411,	+35.1172158,-111.0547718,	AZ02,		C001132,		00010731,		Mr. ,	Elijah,		,			Crane,		,		"Crane, Elijah",	53361,https://crane.house.gov,			N,		https://crane.house.gov/contact/,									https://ziplook.house.gov/zip/pictures/az02_crane.jpg,		https://www.facebook.com/profile.php?id=100088851021670,	https://x.com/RepEliCrane,				,																				,													,											R,		02,			,		0,			1229,		LHOB,	Homeland Security;Small Business;Veterans' Affairs,										6/10/2024 9:00:20 AM,	14.9841956660578,	25.1785250133388
